Op Batch No,Actual Product,Order Tdc,Segment,Prop Ip Wt,O/P Wt,Total Length,Area,Zinc,Process Duration(in min),CRFH thickness(mm),GP thickness(mm),Total Zn/AlZn Coating,Op Width,Speed(mpm),Productivity(TPH)
2440MY3000,GI,ZAP130,Appliance,10.0,9.864,999.173,1568.7,0.45,10.0,0.001,0.0412,287.0,1570,99.917,59.184
2440MY4000,GI,ZAP130,Appliance,8.778,8.659,877.113,1377.07,0.395,8.0,0.001,0.0412,287.0,1570,109.639,64.943
2440NA1000,GI,ZGN110,Retail,11.983,11.917,808.354,1010.44,0.089,11.0,0.002,0.0143,88.0,1250,73.487,65.002
2440NA2000,GI,ZGN110,Retail,10.277,10.22,693.243,866.55,0.076,10.0,0.002,0.0143,88.0,1250,69.324,61.32
2440NH0000,GI,ZEX110,export,22.35,22.62,1500.0,1875.0,0.516,20.0,0.002,0.0405,275.0,1250,75.0,67.86
2440NS0000,GI,ZEX110,export,21.9,22.808,2861.6,3577.0,1.032,29.0,0.001,0.0414,288.541,1250,98.676,47.189
2440NT0000,GI,ZEX110,export,22.38,22.883,3220.0,4025.0,0.564,32.0,0.001,0.0206,140.0,1250,100.625,42.906
2440PA1000,GI,ZEX110,export,9.898,10.29,1140.0,1710.0,0.491,9.0,0.001,0.0412,287.0,1500,126.667,68.6
2440PA2000,GI,ZEX110,export,9.898,10.29,1140.0,1710.0,0.491,10.0,0.001,0.0412,287.0,1500,114.0,61.74
2440PA3000,GI,ZEX110,export,8.554,8.893,980.0,1470.0,0.422,8.0,0.001,0.0412,287.0,1500,122.5,66.698
2440PB1000,GI,ZEX110,export,10.491,10.204,1140.7,1711.05,0.476,8.0,0.001,0.0399,278.043,1500,142.588,76.53
2440PB2000,GI,ZEX110,export,5.622,5.468,611.9,917.85,0.253,5.0,0.001,0.0396,275.726,1500,122.38,65.616
2440PB3000,GI,ZEX110,export,12.227,11.892,1330.0,1995.0,0.549,9.0,0.001,0.0396,275.436,1500,147.778,79.28
2440PC1000,GI,ZEX110,export,9.895,10.29,1140.0,1710.0,0.491,9.0,0.001,0.0412,287.0,1500,126.667,68.6
2440PC2000,GI,ZEX110,export,9.895,10.29,1140.0,1710.0,0.491,10.0,0.001,0.0412,287.0,1500,114.0,61.74
2440PC3000,GI,ZEX110,export,8.78,9.13,1000.0,1500.0,0.43,8.0,0.001,0.0412,287.0,1500,125.0,68.475
2440PF1000,GI,ZEX110,export,9.413,9.653,722.4,1083.6,0.313,6.0,0.001,0.0414,288.695,1500,120.4,96.53
2440PF2000,GI,ZEX110,export,9.408,9.648,722.5,1083.75,0.312,7.0,0.001,0.0413,288.0,1500,103.214,82.697
2440PF3000,GI,ZEX110,export,9.099,9.331,698.7,1048.05,0.304,8.0,0.001,0.0416,289.968,1500,87.338,69.982
